    0.000000     0.000000           0.0000       0.0000
    2.000040     0.000000           0.0200       0.0100
    3.980832     0.000000           0.0398       0.0299
    7.387186     0.000000           0.0739       0.0568
   12.908319     0.000000           0.1291       0.1015
   21.413612     0.000000           0.2141       0.1716
   33.952858     0.000000           0.3395       0.2768
   51.746601     0.000000           0.5175       0.4285
   76.167656     0.000000           0.7617       0.6396
  108.715561     0.000000           1.0872       0.9244
  150.986023     0.000000           1.5099       1.2985
  204.637451     0.000000           2.0464       1.7781
  271.356506     0.000000           2.7136       2.3800
  352.824493     0.000000           3.5282       3.1209
  450.685791     0.000000           4.5069       4.0176
  566.519226     0.000000           5.6652       5.0860
  701.813354     0.000000           7.0181       6.3417
  857.945801     0.000000           8.5795       7.7988
 1036.166504     0.000000          10.3617       9.4706
 1237.585449     0.000000          12.3759      11.3688
 1463.163940     0.000000          14.6316      13.5037
 1713.709595     0.000000          17.1371      15.8844
 1989.874390     0.000000          19.8987      18.5179
 2292.155518     0.000000          22.9216      21.4101
 2620.898438     0.000000          26.2090      24.5653
 2976.302246     0.000000          29.7630      27.9860
 3358.425781     0.000000          33.5843      31.6736
 3767.196045     0.000000          37.6720      35.6281
 4202.416504     0.000000          42.0242      39.8481
 4663.776367     0.000000          46.6378      44.3310
 5150.859863     0.000000          51.5086      49.0732
 5663.156250     0.000000          56.6316      54.0701
 6199.839355     0.000000          61.9984      59.3150
 6759.727051     0.000000          67.5973      64.7978
 7341.469727     0.000000          73.4150      70.5061
 7942.926270     0.000014          79.4434      76.4292
 8564.624023     0.000055          85.7016      82.5725
 9208.305664     0.000131          92.2162      88.9589
 9873.560547     0.000279          99.0182      95.6172
10558.881836     0.000548         106.1445     102.5813
11262.484375     0.001000         113.6382     109.8913
11982.662109     0.001701         121.5502     117.5942
12713.897461     0.002765         129.9403     125.7453
13453.225586     0.004267         138.8558     134.3981
14192.009766     0.006322         148.3260     143.5909
14922.685547     0.009035         158.3816     153.3538
15638.053711     0.012508         169.0545     163.7180
16329.560547     0.016860         180.3786     174.7166
16990.623047     0.022189         192.3889     186.3837
17613.281250     0.028610         205.1223     198.7556
18191.029297     0.036227         218.6172     211.8697
18716.968750     0.045146         232.9140     225.7656
19184.544922     0.055474         248.0547     240.4844
19587.513672     0.067316         264.0833     256.0690
19919.796875     0.080777         281.0456     272.5644
20175.394531     0.095964         298.9895     290.0175
20348.916016     0.112979         317.9651     308.4774
20434.158203     0.131935         338.0245     327.9948
20426.218750     0.152934         359.2221     348.6233
20319.011719     0.176091         381.6144     370.4182
20107.031250     0.201520         405.2606     393.4375
19785.357422     0.229315         430.2069     417.7338
19348.775391     0.259554         456.4813     443.3441
18798.822266     0.291993         483.8506     470.1659
18141.296875     0.326329         512.0662     497.9584
17385.595703     0.362203         540.8577     526.4620
16544.585938     0.399205         569.9401     555.3989
15633.566406     0.436906         599.0310     584.4855
14665.645508     0.475016         627.9669     613.4989
13653.219727     0.513280         656.6129     642.2899
12608.383789     0.551458         684.8491     670.7310 
11543.166992     0.589317         712.5573     698.7032
10471.310547     0.626559         739.5739     726.0656
 9405.222656     0.662934         765.7697     752.6718
 8356.252930     0.698224         791.0376     778.4036
 7335.164551     0.732224         815.2774     803.1575
 6353.920898     0.764679         838.3507     826.8141
 5422.802734     0.795385         860.1516     849.2512
 4550.215820     0.824185         880.6080     870.3798
 3743.464355     0.850950         899.6602     890.1340
 3010.146973     0.875518         917.2205     908.4403
 2356.202637     0.897767         933.2247     925.2226
 1784.854614     0.917651         947.6584     940.4416
 1297.656128     0.935157         960.5245     954.0914
  895.193542     0.950274         971.8169     966.1707
  576.314148     0.963007         981.5301     976.6735
  336.772369     0.973466         989.7322     985.6311
  162.043427     0.982238         996.8732     993.3027
   54.208336     0.989153        1002.8013     999.8373
    6.575628     0.994204        1007.4431    1005.1222
    0.003160     0.997630        1010.8488    1009.1459
    0.000000     1.000000        1013.2500    1012.0494
